systeminfo_identifier,product,feature,featureversion,binaryrating,useragent,updateddate,scaleratingmax,feedbacktext,assetalias
id:9b1a260f-23e5-4e4f-b3ba-d72c939d0426,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 11; motorola edge 5G UW (2021) Build/RRM31.Q3-23-39-1-1),2022-03-09T16:53:33.948Z,,,Android.App
id:717ac412-0502-4ba8-bddf-6d2bd99bffa4,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S908U1 Build/SP1A.210812.016),2022-03-09T16:03:58.074Z,,,Android.App
id:4e6e797d-5e9f-44f9-9aee-c9dccc1a7fdd,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G998U Build/SP1A.210812.016),2022-03-09T16:41:43.883Z,,,Android.App
id:9d1f6154-deeb-46c7-becc-e48f4799a44a,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 10; SM-N960U1 Build/QP1A.190711.020),2022-03-08T14:56:37.521Z,,,Android.App
id:452a6918-7c9d-46d1-b1b5-a57769943fea,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S908U Build/SP1A.210812.016),2022-03-09T16:16:13.887Z,,,Android.App
id:4f4da62b-d3f8-432d-bcf0-a9f67c890edc,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 9; LM-G710 Build/PKQ1.181105.001),2022-03-09T16:40:50.571Z,,,Android.App
id:37dfb711-f3d8-46b9-a105-523c97168bf3,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; LM-G820 Build/RKQ1.210420.001),2022-03-14T13:55:46.778Z,,business,Android.App
id:2669a00b-8042-40ec-a0e0-c1b41568b8b1,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N986U Build/SP1A.210812.016),2022-03-10T15:58:13.118Z,,,Android.App
id:8f15956c-9724-4e45-bf48-e4b089081dbb,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S901U Build/SP1A.210812.016),2022-03-07T14:22:07.401Z,,,Android.App
id:5c8b1a88-6ffe-4edb-8229-1b1905e0886f,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 10; SM-N960U1 Build/QP1A.190711.020),2022-03-08T14:51:53.882Z,,,Android.App
